stage,model_name,attention,head,activation,train_scope,n_seeds,seeds,best_val_acc_mean,best_val_acc_std,best_val_loss_mean,best_val_loss_std,train_val_gap_mean,train_val_gap_std,best_epoch_mean,best_epoch_std,best_seed,best_seed_val_acc,best_seed_checkpoint,trainable_params
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,1 2 3,0.60327456,0.02143835,1.45405141,0.03194469,0.21467089,0.01227854,26.3333,9.0185,2,0.62216625,best_grid_efficientnetb0_eca_linear_added_only_pretrained_seed2.pth,25623
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,1 2 3,0.98089840,0.00221151,0.07702506,0.01612413,0.01644851,0.00344281,23.6667,4.0415,2,0.98299748,best_grid_efficientnetb0_eca_linear_full_pretrained_seed2.pth,4033171
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,1 2 3,0.86649874,0.00288575,0.44168050,0.01008474,0.11699908,0.00297148,21.3333,5.1316,2,0.86901763,best_grid_efficientnetb0_eca_linear_last2_pretrained_seed2.pth,1155015
grid,grid_efficientnetb0_eca_mlp512_added_only,eca,mlp512,relu,added_only,3,1 2 3,0.63706969,0.01764723,1.20312415,0.03332035,0.26121111,0.02016424,32.3333,1.5275,1,0.65428212,best_grid_efficientnetb0_eca_mlp512_added_only_pretrained_seed1.pth,666135
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,3,1 2 3,0.97858942,0.00062972,0.09452626,0.00937667,0.01170030,0.00907346,25.0000,9.5394,3,0.97921914,best_grid_efficientnetb0_eca_mlp512_full_pretrained_seed3.pth,4673683
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,3,1 2 3,0.85600336,0.02201630,0.49573284,0.06479394,0.10945350,0.00195244,18.0000,11.7898,3,0.88098237,best_grid_efficientnetb0_eca_mlp512_last2_pretrained_seed3.pth,1795527
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,3,1 2 3,0.62846347,0.01669656,1.23050198,0.03538238,0.25320903,0.02145974,32.3333,1.5275,1,0.64546599,best_grid_efficientnetb0_eca_mlp512_silu_added_only_pretrained_seed1.pth,666135
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,3,1 2 3,0.97963896,0.00455553,0.09161276,0.01083281,0.01606305,0.00380971,17.3333,5.0332,3,0.98488665,best_grid_efficientnetb0_eca_mlp512_silu_full_pretrained_seed3.pth,4673683
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,3,1 2 3,0.85873216,0.00857287,0.50194830,0.04116102,0.12598609,0.00832897,26.6667,7.0238,3,0.86838791,best_grid_efficientnetb0_eca_mlp512_silu_last2_pretrained_seed3.pth,1795527
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,3,1 2 3,0.63497061,0.00976240,1.31843886,0.05559590,0.20345664,0.00322516,27.3333,7.0946,3,0.64483627,best_grid_efficientnetb0_noattn_linear_added_only_pretrained_seed3.pth,25620
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,3,1 2 3,0.97397145,0.00585112,0.11199147,0.01803116,0.01982033,0.00096613,12.3333,4.7258,1,0.97795970,best_grid_efficientnetb0_noattn_linear_full_pretrained_seed1.pth,4033168
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,1 2 3,0.86335013,0.02465588,0.47883143,0.04552216,0.11431091,0.00517348,23.3333,13.2035,3,0.88287154,best_grid_efficientnetb0_noattn_linear_last2_pretrained_seed3.pth,1155012
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,3,1 2 3,0.64462637,0.06321218,1.14714845,0.16726588,0.25625446,0.04845889,26.0000,10.3923,1,0.69962217,best_grid_efficientnetb0_noattn_mlp512_added_only_pretrained_seed1.pth,666132
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,3,1 2 3,0.98131822,0.00254499,0.08136460,0.01031516,0.01167764,0.00105143,17.3333,2.5166,2,0.98425693,best_grid_efficientnetb0_noattn_mlp512_full_pretrained_seed2.pth,4673680
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,3,1 2 3,0.88476071,0.01149137,0.43769178,0.04563477,0.08785948,0.00887542,20.0000,10.3923,2,0.89798489,best_grid_efficientnetb0_noattn_mlp512_last2_pretrained_seed2.pth,1795524
grid,grid_efficientnetb0_noattn_mlp512_silu_added_only,none,mlp512,silu,added_only,3,1 2 3,0.65050378,0.03882384,1.10542440,0.09133534,0.25149134,0.03504349,31.6667,0.5774,1,0.69521411,best_grid_efficientnetb0_noattn_mlp512_silu_added_only_pretrained_seed1.pth,666132
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,1 2 3,0.97753988,0.00756542,0.08918948,0.01980308,0.01312126,0.00568842,27.3333,26.7270,1,0.98488665,best_grid_efficientnetb0_noattn_mlp512_silu_full_pretrained_seed1.pth,4673680
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,3,1 2 3,0.86670865,0.01455645,0.45405853,0.04216037,0.11111158,0.00462579,20.6667,11.5470,2,0.88350126,best_grid_efficientnetb0_noattn_mlp512_silu_last2_pretrained_seed2.pth,1795524
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,3,1 2 3,0.60159530,0.00812155,1.38905127,0.07868484,0.24155444,0.01965877,25.3333,11.0151,3,0.60831234,best_grid_efficientnetb0_se_linear_added_only_pretrained_seed3.pth,231780
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,3,1 2 3,0.98173803,0.00383046,0.08322754,0.00607596,0.01582113,0.00196265,21.6667,9.7125,2,0.98425693,best_grid_efficientnetb0_se_linear_full_pretrained_seed2.pth,4239328
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,3,1 2 3,0.85600336,0.03522698,0.46271997,0.09873170,0.11783725,0.02204705,16.0000,9.1652,1,0.88287154,best_grid_efficientnetb0_se_linear_last2_pretrained_seed1.pth,1361172
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,1 2 3,0.63035264,0.03917970,1.19707623,0.14859486,0.26739754,0.01414234,27.6667,19.5021,2,0.67443325,best_grid_efficientnetb0_se_mlp512_added_only_pretrained_seed2.pth,872292
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,1 2 3,0.98299748,0.00825874,0.08324053,0.02165554,0.01201472,0.00291716,22.3333,10.0167,2,0.99055416,best_grid_efficientnetb0_se_mlp512_full_pretrained_seed2.pth,4879840
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,3,1 2 3,0.86649874,0.00491830,0.46834401,0.05106792,0.10675819,0.01496101,19.0000,7.0000,3,0.86964736,best_grid_efficientnetb0_se_mlp512_last2_pretrained_seed3.pth,2001684
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,3,1 2 3,0.62405542,0.04473692,1.21159212,0.17071960,0.26807023,0.02226231,27.6667,19.5021,2,0.67317380,best_grid_efficientnetb0_se_mlp512_silu_added_only_pretrained_seed2.pth,872292
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,3,1 2 3,0.97900924,0.00882362,0.09465108,0.00602232,0.01504786,0.00205730,25.3333,16.8028,3,0.98614610,best_grid_efficientnetb0_se_mlp512_silu_full_pretrained_seed3.pth,4879840
grid,grid_efficientnetb0_se_mlp512_silu_last2,se,mlp512,silu,last2,3,1 2 3,0.86964735,0.00545356,0.46422151,0.04010590,0.10737695,0.01781727,28.3333,15.0444,2,0.87594458,best_grid_efficientnetb0_se_mlp512_silu_last2_pretrained_seed2.pth,2001684
