"model_name","seed","best_val_acc","best_val_acc_epoch","best_val_loss","best_val_loss_epoch","last_epoch","log_file","checkpoint"
"resnet18","1","0.98201637","38","0.08104076","34","39","metrics_resnet18_pretrained_seed1.csv","best_resnet18_pretrained_seed1.pth"
"resnet18","2","0.98212720","26","0.06886014","25","35","metrics_resnet18_pretrained_seed2.csv","best_resnet18_pretrained_seed2.pth"
"resnet18","3","0.98236776","29","0.08247996","22","32","metrics_resnet18_pretrained_seed3.csv","best_resnet18_pretrained_seed3.pth"
"resnet18","4","0.98306100","33","0.08054964","33","43","metrics_resnet18_pretrained_seed4.csv","best_resnet18_pretrained_seed4.pth"
"resnet18","5","0.98504610","38","0.07539265","39","46","metrics_resnet18_pretrained_seed5.csv","best_resnet18_pretrained_seed5.pth"
"resnet34","1","0.98299748","22","0.07577924","22","32","metrics_resnet34_pretrained_seed1.csv","best_resnet34_pretrained_seed1.pth"
"resnet34","2","0.98677582","40","0.07720267","37","47","metrics_resnet34_pretrained_seed2.csv","best_resnet34_pretrained_seed2.pth"
"resnet34","3","0.98362720","34","0.07694059","29","39","metrics_resnet34_pretrained_seed3.csv","best_resnet34_pretrained_seed3.pth"
"resnet34","4","0.98425693","37","0.07497122","33","43","metrics_resnet34_pretrained_seed4.csv","best_resnet34_pretrained_seed4.pth"
"resnet34","5","0.97229219","24","0.10633043","24","34","metrics_resnet34_pretrained_seed5.csv","best_resnet34_pretrained_seed5.pth"
"resnet50","1","0.97481108","22","0.14427332","22","32","metrics_resnet50_pretrained_seed1.csv","best_resnet50_pretrained_seed1.pth"
"resnet50","2","0.97858942","16","0.11642415","16","26","metrics_resnet50_pretrained_seed2.csv","best_resnet50_pretrained_seed2.pth"
"resnet50","3","0.97732997","26","0.12196723","22","32","metrics_resnet50_pretrained_seed3.csv","best_resnet50_pretrained_seed3.pth"
"resnet50","4","0.96221662","27","0.18675093","23","33","metrics_resnet50_pretrained_seed4.csv","best_resnet50_pretrained_seed4.pth"
"resnet50","5","0.96095718","28","0.20127227","18","28","metrics_resnet50_pretrained_seed5.csv","best_resnet50_pretrained_seed5.pth"
"efficientnetb0","1","0.98173804","26","0.08618361","21","31","metrics_efficientnetb0_pretrained_seed1.csv","best_efficientnetb0_pretrained_seed1.pth"
"efficientnetb0","2","0.97984887","28","0.08002033","23","33","metrics_efficientnetb0_pretrained_seed2.csv","best_efficientnetb0_pretrained_seed2.pth"
"efficientnetb0","3","0.98173804","9","0.07760044","9","19","metrics_efficientnetb0_pretrained_seed3.csv","best_efficientnetb0_pretrained_seed3.pth"
"efficientnetb0","4","0.98677582","35","0.07369312","27","37","metrics_efficientnetb0_pretrained_seed4.csv","best_efficientnetb0_pretrained_seed4.pth"
"efficientnetb0","5","0.98551637","23","0.07543017","14","24","metrics_efficientnetb0_pretrained_seed5.csv","best_efficientnetb0_pretrained_seed5.pth"
"mobilenetv2","1","0.98236776","22","0.07313816","24","34","metrics_mobilenetv2_pretrained_seed1.csv","best_mobilenetv2_pretrained_seed1.pth"
"mobilenetv2","2","0.97670025","42","0.09674866","37","47","metrics_mobilenetv2_pretrained_seed2.csv","best_mobilenetv2_pretrained_seed2.pth"
"mobilenetv2","3","0.97670025","25","0.09271112","15","25","metrics_mobilenetv2_pretrained_seed3.csv","best_mobilenetv2_pretrained_seed3.pth"
"mobilenetv2","4","0.97481108","30","0.09924628","30","40","metrics_mobilenetv2_pretrained_seed4.csv","best_mobilenetv2_pretrained_seed4.pth"
"mobilenetv2","5","0.98299748","20","0.08502438","19","29","metrics_mobilenetv2_pretrained_seed5.csv","best_mobilenetv2_pretrained_seed5.pth"
"mobilenetv3","1","0.97670025","23","0.12018596","22","32","metrics_mobilenetv3_pretrained_seed1.csv","best_mobilenetv3_pretrained_seed1.pth"
"mobilenetv3","2","0.97544081","23","0.11869611","16","26","metrics_mobilenetv3_pretrained_seed2.csv","best_mobilenetv3_pretrained_seed2.pth"
"mobilenetv3","3","0.98614610","26","0.09145636","21","31","metrics_mobilenetv3_pretrained_seed3.csv","best_mobilenetv3_pretrained_seed3.pth"
"mobilenetv3","4","0.96851385","22","0.12060676","13","23","metrics_mobilenetv3_pretrained_seed4.csv","best_mobilenetv3_pretrained_seed4.pth"
"mobilenetv3","5","0.98362720","33","0.09792854","32","42","metrics_mobilenetv3_pretrained_seed5.csv","best_mobilenetv3_pretrained_seed5.pth"
